family,probability,sample_size,p2_permutation_sd,adaptive_permutation_sd,adaptive_over_p2_sd,p2_permutation_range,adaptive_permutation_range,p2_permutation_type7_mae,adaptive_permutation_type7_mae,p2_adversarial_error,adaptive_adversarial_error
"Normal(0,1)",0.01,1000,0.0890454988250235,0.36497823631674947,4.0987836682676155,0.5545972157585166,1.6696658316541004,0.05777107626997592,1.0745255492640768,0.755445128369888,2.742350137436622
"Normal(0,1)",0.05,1000,0.0382571075996149,0.30100923842305677,7.868060533308241,0.21709719390282067,1.3394632969865239,0.030650966801706602,0.5200454327835289,1.512570753325662,2.0569532253085923
"Normal(0,1)",0.5,1000,0.009576612635548532,0.12662193785320602,13.221996406452053,0.04602051461453184,0.49059213936992513,0.008312409524262189,0.10788362663943327,0.1583571630441964,1.0381616985660178
"Normal(0,1)",0.95,1000,0.0341423334639558,0.259752814381107,7.607939704980302,0.21572083158710217,1.3188604216432038,0.024728673830071952,0.5314668388097783,1.5952410135322799,2.042520796454579
"Normal(0,1)",0.99,1000,0.07908058370158802,0.31488799974222736,3.9818623611892243,0.548656331070301,1.6469063277336249,0.06349198930409053,1.078373856193449,0.583079680397879,2.7192610872381593
"Student-t(df=3), unit variance",0.01,1000,0.3716920925837135,0.47873677601936554,1.2879928994226402,2.5297430613868306,3.0922596788984995,0.2366052290773124,1.823918715966945,5.8650906425975275,7.169140429889564
"Student-t(df=3), unit variance",0.05,1000,0.08224037445954124,0.3781247855369662,4.59779990086241,0.5326300091728674,2.4229894089345008,0.05536929577281288,0.5553533772773781,1.3165676158326922,6.933213181847812
"Student-t(df=3), unit variance",0.5,1000,0.006946528147551824,0.06036718670609352,8.69026734273996,0.03296865908448218,0.25094922625811644,0.0069830773670437295,0.050786300810543396,0.09766035874428725,0.7484266026457833
"Student-t(df=3), unit variance",0.95,1000,0.06766285817242981,0.3164526411776955,4.676903248326548,0.41599455717877837,1.8814070276223394,0.05085590143851616,0.4931184378799042,1.2794177394459965,4.653744048041692
"Student-t(df=3), unit variance",0.99,1000,0.2902495326604596,0.3997754178481916,1.3773507718817168,1.7494477011893963,2.3829477666587637,0.2633175379384298,1.4612800486038,3.7186480324050564,4.714606250387463
