family,level,alpha,true_expectile,bias,mae,rmse,moment,normalized_balance
"Normal(0,1)",0.05,0.01,-1.140171145835742,0.0031614207841714525,0.03670262144077775,0.047619645461119006,-0.00010982319281486227,-8.701467794343216e-05
"Normal(0,1)",0.05,0.02,-1.140171145835742,0.001900629644575468,0.05073475959178295,0.0655291332563949,-5.4475767251914924e-05,-4.311836768233697e-05
"Normal(0,1)",0.05,0.05,-1.140171145835742,-0.001043656506359799,0.07770504717627116,0.098949663422289,-5.7566283947530044e-05,-4.5446631086626044e-05
"Normal(0,1)",0.05,0.1,-1.140171145835742,-0.006098596344258935,0.10866005980467651,0.13728836178986217,-6.026224455051661e-05,-4.736475584573413e-05
"Normal(0,1)",0.5,0.01,0.0,-0.00134945030584419,0.05847089570025841,0.07315794688543946,1.5215902548426869e-05,1.9043738662067094e-05
"Normal(0,1)",0.5,0.02,0.0,-0.0010676439617466017,0.08104911700420477,0.10157027563663502,-0.00012568726950034688,-0.00015689351474094224
"Normal(0,1)",0.5,0.05,0.0,-0.0010499194309351663,0.12737010730023968,0.1598000107707211,-0.00013454953490607462,-0.00016664290226092292
"Normal(0,1)",0.5,0.1,0.0,-0.0011444294084000924,0.18220875823116703,0.22865657173956447,-8.729454617361893e-05,-0.00010671969465033059
"Normal(0,1)",0.95,0.01,1.1401711458357418,-0.003892053697901907,0.03325835642902226,0.04231026191741188,0.00029829067766056573,0.00023586615873618256
"Normal(0,1)",0.95,0.02,1.1401711458357418,-0.002237939490097499,0.04763179593605347,0.060083486423783854,0.00020406349518958873,0.00016115077213542628
"Normal(0,1)",0.95,0.05,1.1401711458357418,0.0019778473546803585,0.07614239791781846,0.09548789430007493,3.6853658727711e-05,2.9004882203768573e-05
"Normal(0,1)",0.95,0.1,1.1401711458357418,0.007659186729324274,0.10839737000171361,0.13623241943670394,-6.0434777817278316e-05,-4.733677268300898e-05
"Student-t(df=5), unit variance",0.05,0.01,-1.146412324757407,0.001101443479370202,0.04443508454355449,0.05536361230720343,-0.00031889463662698085,-0.0002503859797228977
"Student-t(df=5), unit variance",0.05,0.02,-1.146412324757407,-0.0008695154327964428,0.06353781287268913,0.08005352964941892,-0.00027780962933299594,-0.00021776849354621843
"Student-t(df=5), unit variance",0.05,0.05,-1.146412324757407,-0.0067294808247397924,0.10224095797996689,0.12982747470453665,-0.00022973492962715365,-0.00017918432750185505
"Student-t(df=5), unit variance",0.05,0.1,-1.146412324757407,-0.016650702879342644,0.14665807141166767,0.18907011360611664,-0.00017554825328039677,-0.00013576626083292297
"Student-t(df=5), unit variance",0.5,0.01,0.0,0.0005133992393669041,0.057162838492836904,0.07162676723001218,-0.0001055482328843523,-0.00014292294080388635
"Student-t(df=5), unit variance",0.5,0.02,0.0,0.00023558752744527644,0.08014233296560938,0.10080250564759037,3.335762307646452e-05,4.501933631576863e-05
"Student-t(df=5), unit variance",0.5,0.05,0.0,8.821262167177137e-05,0.1268340348104979,0.1603483997165027,0.00010704507596319514,0.00014305233572378757
"Student-t(df=5), unit variance",0.5,0.1,0.0,7.721174113708996e-05,0.18105335851538482,0.2300740499564874,0.00011254551623052718,0.00014790398715442793
"Student-t(df=5), unit variance",0.95,0.01,1.1464123247574067,0.004694560698767232,0.04700296486403066,0.05959591624375779,0.00012075282644227412,9.441632693891912e-05
"Student-t(df=5), unit variance",0.95,0.02,1.1464123247574067,0.007593960905567858,0.06626438064483368,0.08493334996202136,-7.891976707037576e-06,-6.156584632559097e-06
"Student-t(df=5), unit variance",0.95,0.05,1.1464123247574067,0.013182988748988971,0.10261932542942254,0.1335192893985099,1.28058713480956e-05,9.941429379160852e-06
"Student-t(df=5), unit variance",0.95,0.1,1.1464123247574067,0.02225302166839817,0.14475458967761845,0.19128365406917472,6.72330307304685e-05,5.1784216187375596e-05
"Student-t(df=3), unit variance",0.05,0.01,-1.09139544595381,-0.006729537741293255,0.06339782316981109,0.0785543848600844,0.00015582346655467058,0.00012783550234136758
"Student-t(df=3), unit variance",0.05,0.02,-1.09139544595381,-0.010823843357926733,0.08932923194595724,0.11349251935242254,0.0002713881120912505,0.00022186192853253033
"Student-t(df=3), unit variance",0.05,0.05,-1.09139544595381,-0.018134842641631607,0.14103501208567668,0.1872901245122961,3.4804996843709656e-05,2.8253588022043183e-05
"Student-t(df=3), unit variance",0.05,0.1,-1.09139544595381,-0.03218641312579221,0.1983635490010851,0.2769471846204772,-3.498676594782067e-05,-2.8042204453108703e-05
"Student-t(df=3), unit variance",0.5,0.01,0.0,-0.0011475785783496215,0.055112937004742076,0.07102082716950046,0.0001889217014794888,0.00029571806453645733
"Student-t(df=3), unit variance",0.5,0.02,0.0,-0.001040465076734028,0.07687550409803799,0.10040327706441507,0.00013536495067168277,0.00021086136718163556
"Student-t(df=3), unit variance",0.5,0.05,0.0,-0.000875324313253121,0.12041383319790379,0.1600397423710094,5.279456893120685e-05,8.109486454062425e-05
"Student-t(df=3), unit variance",0.5,0.1,0.0,-0.0007808468891961685,0.1694842731629027,0.23003299956735726,5.555856902738554e-06,8.345346516457115e-06
"Student-t(df=3), unit variance",0.95,0.01,1.0913954459538096,-0.006631558051722162,0.06758117658548751,0.08990457222930073,0.00019933559068066123,0.0001652055404936996
"Student-t(df=3), unit variance",0.95,0.02,1.0913954459538096,-0.0007611936214194766,0.09362500364852433,0.13020859840215127,-3.14109172093884e-05,-2.590374703863291e-05
"Student-t(df=3), unit variance",0.95,0.05,1.0913954459538096,0.011691163557950758,0.1437386562281755,0.2167854168194893,-0.0001770359111229265,-0.00014438784942143645
