family,probability,sample_size,p2_type7_bias,p2_type7_mae,adaptive_type7_bias,adaptive_type7_mae,adaptive_over_p2_type7_mae,p2_true_bias,p2_true_mae,adaptive_true_bias,adaptive_true_mae,adaptive_over_p2_true_mae
"Normal(0,1)",0.01,20,0.3988224968110443,0.43977925898972076,1.224380243701255,1.239101999037176,2.817554429200897,0.9022841727782929,0.9748182678603344,1.7278419196685035,1.7523390550226399,1.7976058849091074
"Normal(0,1)",0.01,50,0.26862941683917246,0.3333663291612988,1.2656730144561439,1.2895168775585006,3.8681677324843737,0.5111003050545658,0.5878968273856764,1.5081439026715375,1.5314275601642495,2.604925709455464
"Normal(0,1)",0.01,100,0.14282470752256257,0.21312547310519445,1.248110332933074,1.275325405023827,5.9839182357819425,0.27131744424570653,0.36523606303030365,1.3766030696562177,1.400440606862484,3.8343437262006885
"Normal(0,1)",0.01,250,-0.03755266389080176,0.10587013614712515,1.1917699620362021,1.222133231906147,11.543701334319419,-0.0022501192638373774,0.21878156547447306,1.2270725066631667,1.2498487306541335,5.712769848517987
"Normal(0,1)",0.01,500,-0.04843943866731463,0.07880777171050994,1.1026679265540722,1.125774009584531,14.285063327509308,-0.020626884179385956,0.15583709014596686,1.1304804810420008,1.1527368587127331,7.3970635465087735
"Normal(0,1)",0.01,1000,-0.009736933455808342,0.0763410172813569,1.023898649068686,1.042429140551522,13.654902405997829,0.008772538484348832,0.1346653219198231,1.0424081210088434,1.0640476025413466,7.901422484809103
"Normal(0,1)",0.01,2500,-0.004902507836083786,0.04037901698724487,0.9375487105332458,0.9580931275225313,23.72750004848257,-0.0012408145537835702,0.0742925567235259,0.9412104038155462,0.9619203944960898,12.947735774874506
"Normal(0,1)",0.01,5000,0.0008439883287761241,0.018572996773196848,0.874505960056517,0.8947883559479355,48.17684334276237,-0.0006123538182897847,0.04773331603254889,0.873049617909451,0.8932550945165051,18.713451500151447
"Normal(0,1)",0.01,10000,6.451668937251798e-05,0.013160408349423346,0.8091884748997437,0.8293101252367677,63.01553137392624,0.002336765694745252,0.03154859204869505,0.8114607239051164,0.8311639702882365,26.34551706793572
"Normal(0,1)",0.05,20,0.08111772123463186,0.28683501562963387,0.9610489780677718,1.0089730980800198,3.517607834124487,0.22078992568892505,0.5171411212326898,1.1007211825220649,1.1595573309221336,2.2422454593402676
"Normal(0,1)",0.05,50,-0.08917152866137619,0.16529091469147789,0.853243770830938,0.9035169602496088,5.4662227620680754,-0.03842891003351562,0.2786110493078623,0.9039863894587986,0.9554886865195872,3.4294716196405486
"Normal(0,1)",0.05,100,-0.08670700254366728,0.13177175909371863,0.752578638605638,0.8027625713962634,6.09206841372834,-0.048768233610031346,0.1946060140868759,0.790517407539274,0.8365457366320793,4.298663330407811
"Normal(0,1)",0.05,250,-0.011436193790571803,0.05834490377879881,0.647349714198976,0.6976401415508358,11.957173572447335,0.004353973466013244,0.1247713549302066,0.6631398814555611,0.7038959813969929,5.641487036754001
"Normal(0,1)",0.05,500,-0.01625458636570075,0.046553003009523294,0.5859824663045892,0.622777789546394,13.377822036936973,-0.017632923449782727,0.0931596760742656,0.5846041292205072,0.622438517446814,6.681415647587854
"Normal(0,1)",0.05,1000,-0.005911060468577095,0.02858083193829155,0.5143871272153882,0.548109378074449,19.177516569771793,-0.007924831271089538,0.06798244705666986,0.5123733564128757,0.5468821081248826,8.044460471818617
"Normal(0,1)",0.05,2500,-0.0033487471683678717,0.019539026595584912,0.4311058919914963,0.4603205761913566,23.5590331964322,-0.0010723980290629708,0.04056237199842561,0.43338224113080115,0.46366954914046443,11.431026498116562
"Normal(0,1)",0.05,5000,-0.004735279494069039,0.012381818187169085,0.38140966689282785,0.407346497618426,32.89876264218992,-0.004316135743837724,0.031106473644778393,0.38182881064305924,0.40899008101784873,13.1480696169012
"Normal(0,1)",0.05,10000,-0.004930338076708415,0.008883571969443702,0.3341026625672418,0.3574408411632052,40.23616202949369,-0.002613255982895746,0.022600106640006362,0.3364197446610545,0.36079155709991706,15.964152862059924
"Normal(0,1)",0.5,20,-0.015948685492316685,0.10838454401943007,0.0016095380941124199,0.3746958838543537,3.457097017331014,0.05156650936395293,0.2370848491774385,0.06912473295038202,0.4906041239702188,2.0693187509550306
"Normal(0,1)",0.5,50,-0.0019140510903227867,0.055851431124331385,0.019963809753030713,0.3103500478300679,5.5567071708367655,0.028725051742933272,0.1740931490943266,0.050602912586286776,0.36236935620336763,2.081468214507567
"Normal(0,1)",0.5,100,0.006770313228646243,0.04246213555044222,0.04237523629794,0.25865432655364773,6.091411164339189,0.0027832455706645206,0.09802689714074572,0.038388168639958274,0.277051773112134,2.826283205866924
"Normal(0,1)",0.5,250,0.003961505819999414,0.02403516642020049,0.029659963958390954,0.19261031255297717,8.013687493800616,0.0009668899015015956,0.05699883465454891,0.026665348039893143,0.19907634717943917,3.4926389001805926
"Normal(0,1)",0.5,500,0.0005541105572974003,0.014288230297547042,0.01910808970319078,0.1564585438356499,10.950169515570462,0.0019136871006913525,0.04527350406701225,0.020467666246584727,0.15823640605354836,3.495121690146457
"Normal(0,1)",0.5,1000,-0.0004953660811559242,0.008864210756871053,0.01495590964631309,0.12550469490233035,14.158586516576893,0.0007089669718902795,0.030198780215318115,0.01616024269935929,0.12666232760717835,4.194286216332996
"Normal(0,1)",0.5,2500,-0.0008849821705526025,0.004338399776092106,0.009183767104094766,0.09231615482602942,21.278849250998466,0.003004886178449226,0.01854117242387174,0.013073635453096593,0.09425691213550318,5.083654365575474
"Normal(0,1)",0.5,5000,-0.00034144110789596045,0.002891154582107631,0.008971100722450536,0.07412831447540194,25.63969250698554,0.001006725976285954,0.013728968894037713,0.010319267806632454,0.07485926062670363,5.452649882484175
"Normal(0,1)",0.5,10000,7.358608640168482e-05,0.001706057816546072,0.008486812252734097,0.058275399496198046,34.15792766869828,-0.0004724019406569177,0.010552046614512561,0.007940824225675495,0.06051289476012589,5.734706921868654
"Normal(0,1)",0.95,20,-0.08442086815184272,0.2801131664481784,-0.8478697017369304,0.8651053352950203,3.088413680315405,-0.2146541748505974,0.47926039842851836,-0.9781030084356852,1.041960398473303,2.1741007641980485
"Normal(0,1)",0.95,50,0.049519099318042166,0.1392244199215905,-0.7742905460306372,0.8033375560475979,5.77009088276344,0.016879211564302263,0.23056406985756492,-0.806930433784377,0.8658684085371519,3.75543513380926
