probability,sample_size,p2_type7_bias,p2_type7_mae,p2_type7_rmse,p2_type7_p95_abs,p2_type7_max_abs,p2_true_bias,p2_true_mae,type7_true_bias,type7_true_mae,p2_type7_mae_ratio
0.01,5,-0.026816545744672675,0.026816545744672675,0.03434162277791502,0.06862760446535912,0.11442548552931342,1.1646333720743465,1.1890620088163797,1.191449917819019,1.2109917031837394,0.9818911274869137
0.05,5,-0.13408272872336338,0.13408272872336338,0.17170811388957508,0.34313802232679513,0.5721274276465671,0.48313912498497835,0.6570534916815969,0.6172218537083418,0.706111540260598,0.9305236555673687
0.5,5,0.0,0.0,0.0,0.0,0.0,0.006765937960474422,0.4189923409970363,0.006765937960474422,0.4189923409970363,1.0
0.95,5,0.12895984037516103,0.12895984037516103,0.16802453303952372,0.3397580361183328,0.7410485718466857,-0.5023289411203883,0.6868644977342799,-0.6312887814955493,0.7301684502199903,0.940693202407385
0.99,5,0.025791968075032208,0.025791968075032208,0.033604906607904744,0.06795160722366664,0.14820971436933705,-1.1838231882097578,1.217291471853429,-1.2096151562847897,1.2367088075460346,0.9842991854071655
0.01,10,0.2795324415657311,0.32967034102126014,0.546517781334169,1.289258244086884,2.2554801575934493,1.1347369856728087,1.1688366983252336,0.8552045441070774,0.8948080786852199,1.3062428985248498
0.05,10,0.09001968395095812,0.3407091812286033,0.46251210363297834,0.9375185107635476,2.107753463666295,0.45324273858344044,0.6668511881920617,0.3632230546324823,0.5055354948805838,1.3190986487498437
0.5,10,0.00446209922712433,0.15869316801242905,0.20999854286858716,0.4245379115064812,1.1219726285211404,0.012004483034938647,0.3396670732094502,0.007542383807814314,0.29749441688378,1.1417594883541815
0.95,10,-0.1021669080003772,0.33453088183727425,0.44501957075738535,0.8769095375892758,1.9036085901381052,-0.443864088685211,0.6376500304009738,-0.34169718068483385,0.4755489405770048,1.3408715191906104
0.99,10,-0.2918329066770158,0.33830570144439503,0.5541898524143564,1.2302195417991917,2.4556963938016265,-1.1253583357745804,1.1508100406331512,-0.8335254290975644,0.8718498452883406,1.3199635772746534
0.01,20,0.4001517961726809,0.44294854906779174,0.5833726025385424,1.1471629477822456,2.0215704016380434,0.9364933476273443,0.9559679257807734,0.5363415514546634,0.6023528332794622,1.5870564110673837
0.05,20,0.055497002717458915,0.27278065296590603,0.38967462043309753,0.8456294911638024,1.433896948427,0.2549991005379762,0.45882713079321297,0.19950209782051728,0.36261046823360255,1.2653444149814927
0.5,20,-0.008570131755665091,0.11555191827802207,0.15393431574652705,0.31875187779704195,0.8608881605880683,0.00288391236456811,0.23981944366418267,0.011454044120233202,0.2253627236285882,1.064148674646922
0.95,20,-0.05937219058144701,0.2729517016139406,0.39166789986432454,0.7940866313008793,1.8680329627266958,-0.2602479937931385,0.4571240874826399,-0.20087580321169152,0.3550727869492672,1.2874095235801717
0.99,20,-0.4089087362392469,0.4511422099319738,0.5971687986154741,1.1861129876392904,2.642219025739259,-0.9417422408825078,0.9699136369405988,-0.532833504643261,0.6015921837061349,1.612244412760491
0.01,50,0.3097083801612806,0.3565736268251738,0.41950914225358504,0.7494436159207274,1.438436029586141,0.5697697250924878,0.6112820975993895,0.26006134493120714,0.37457197110051255,1.6319483163767161
0.05,50,-0.07578593256899913,0.13775344659424657,0.21239821463644465,0.44104705481948864,1.4021548809603437,0.016480292595810596,0.2532690811615325,0.09226622516480973,0.23378053597843473,1.0833625652432224
0.5,50,-0.004817337517108121,0.06756923787264986,0.08829346053390574,0.17710416364033282,0.41792992688952785,-0.016339635538510477,0.14415425329277864,-0.011522298021402356,0.1375143919603554,1.0482848466823567
0.95,50,0.06317283916791876,0.12876674475672428,0.19216433456004148,0.38935077039606736,1.098760315573534,-0.044267864207004674,0.24268323046422338,-0.10744070337492342,0.23649669631617914,1.026159072174832
